date,pizza_near_me,coffee_near_me
2019-01-01,49,28
2019-02-01,52,31
2019-03-01,49,33
2019-04-01,52,37
2019-05-01,57,40
2019-06-01,68,49
2019-07-01,76,60
2019-08-01,75,60
2019-09-01,61,51
2019-10-01,59,42
2019-11-01,59,40
2019-12-01,61,36
2020-01-01,58,35
2020-02-01,60,34
2020-03-01,49,26
2020-04-01,50,16
2020-05-01,55,21
2020-06-01,65,29
2020-07-01,81,40
2020-08-01,77,50
2020-09-01,65,47
2020-10-01,71,51
2020-11-01,58,34
2020-12-01,68,31
2021-01-01,66,37
2021-02-01,59,33
2021-03-01,67,36
2021-04-01,73,46
2021-05-01,80,56
2021-06-01,87,64
2021-07-01,100,72
2021-08-01,91,70
2021-09-01,83,67
2021-10-01,81,66
2021-11-01,67,56
2021-12-01,76,53
2022-01-01,61,39
2022-02-01,57,40
2022-03-01,57,44
2022-04-01,64,49
2022-05-01,63,49
2022-06-01,62,57
2022-07-01,84,66
2022-08-01,72,64
2022-09-01,61,58
2022-10-01,61,55
2022-11-01,48,44
2022-12-01,58,46
2023-01-01,48,40
2023-02-01,55,43
2023-03-01,51,44
2023-04-01,55,50
2023-05-01,54,51
2023-06-01,59,62
2023-07-01,66,68
2023-08-01,56,65
2023-09-01,52,56
2023-10-01,45,54
2023-11-01,41,43
2023-12-01,47,44
2024-01-01,45,37
2024-02-01,40,40
2024-03-01,40,40
2024-04-01,41,42
2024-05-01,44,49
2024-06-01,47,55
2024-07-01,51,58
2024-08-01,49,59
2024-09-01,40,54
2024-10-01,38,52
2024-11-01,36,44
2024-12-01,39,42
2025-01-01,36,40
2025-02-01,38,42
2025-03-01,37,44
2025-04-01,39,49
2025-05-01,39,51
2025-06-01,41,63
2025-07-01,44,85
2025-08-01,44,100
2025-09-01,36,62
